Type,Rooms,Bedroom,Bathroom,Car,Landsize,Distance,Postcode,Suburb,CouncilArea,Regionname,Year,Price
u,1,1,1,0,0,5,3122,Hawthorn,Boroondara,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,0,0,5,3000,Melbourne,Melbourne,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,0,0,5,3141,South Yarra,Stonnington,Southern Metropolitan,2017,Between 0 to 400k
u,1,1,1,0,0,5,3000,Melbourne,Melbourne,Northern Metropolitan,2017,Between 0 to 400k
u,1,1,1,0,0,5,3011,Footscray,Maribyrnong,Western Metropolitan,2017,Between 0 to 400k
u,1,1,1,0,0,5,3039,Moonee Ponds,Moonee Valley,Western Metropolitan,2017,Between 0 to 400k
u,1,1,1,0,200,5,3057,Brunswick East,Moreland,Northern Metropolitan,2017,Between 0 to 400k
u,1,1,1,0,400,5,3122,Hawthorn,Boroondara,Southern Metropolitan,2017,Between 0 to 400k
u,1,1,1,0,400,5,3122,Hawthorn,Boroondara,Southern Metropolitan,2017,Between 0 to 400k
u,1,1,1,1,0,5,3143,Armadale,Stonnington,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3183,Balaclava,Port Phillip,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3056,Brunswick,Moreland,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3056,Brunswick,Moreland,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3056,Brunswick,Moreland,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3055,Brunswick West,Moreland,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3055,Brunswick West,Moreland,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3163,Carnegie,Glen Eira,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3163,Carnegie,Glen Eira,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3163,Carnegie,Glen Eira,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3163,Carnegie,Glen Eira,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3162,Caulfield South,Glen Eira,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3162,Caulfield South,Glen Eira,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3058,Coburg,Moreland,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3040,Essendon,Moonee Valley,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3040,Essendon,Moonee Valley,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3041,Essendon North,Moonee Valley,Western Metropolitan,2016,Between 0 to 400k
h,1,1,1,1,0,5,3031,Flemington,Moonee Valley,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3011,Footscray,Maribyrnong,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3011,Footscray,Maribyrnong,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3039,Moonee Ponds,Moonee Valley,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3039,Moonee Ponds,Moonee Valley,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,15,3189,Moorabbin,Kingston,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3044,Pascoe Vale,Moreland,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3181,Prahran,Stonnington,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3073,Reservoir,Darebin,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3011,Seddon,Maribyrnong,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3071,Thornbury,Darebin,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3071,Thornbury,Darebin,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3071,Thornbury,Darebin,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3071,Thornbury,Darebin,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3071,Thornbury,Darebin,Northern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3016,Williamstown North,Hobsons Bay,Western Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,5,3181,Windsor,Port Phillip,Southern Metropolitan,2016,Between 0 to 400k
u,1,1,1,1,0,10,3060,Fawkner,Moreland,Northern Metropolitan,2016,Between 0 to 400k
